,COUNTY,STATE,5/17/20,POPULATION,infection_rate
419,Cobb County,Georgia,2406,745057.0,0.0032292831286733765
420,Coffee County,Georgia,193,42961.0,0.004492446637648099
421,Colquitt County,Georgia,246,45606.0,0.0053940271016971455
422,Columbia County,Georgia,205,147295.0,0.001391764825689942
423,Cook County,Georgia,32,17184.0,0.00186219739292365
424,Coweta County,Georgia,284,140516.0,0.002021122149790771
425,Crawford County,Georgia,19,12344.0,0.0015392093324692157
426,Crisp County,Georgia,193,22846.0,0.00844786833581371
427,Dade County,Georgia,20,16227.0,0.0012325137117150428
428,Dawson County,Georgia,84,23861.0,0.003520388919156783
429,Decatur County,Georgia,116,26833.0,0.004323035068758618
430,DeKalb County,Georgia,2802,743187.0,0.003770248941383528
431,Dodge County,Georgia,39,20919.0,0.0018643338591710886
432,Dooly County,Georgia,157,13905.0,0.011290902553038475
433,Dougherty County,Georgia,1661,91049.0,0.018242924139748925
434,Douglas County,Georgia,437,141840.0,0.003080936266215454
435,Early County,Georgia,233,10348.0,0.022516428295322768
436,Echols County,Georgia,15,3994.0,0.003755633450175263
437,Effingham County,Georgia,42,58689.0,0.0007156366610438072
438,Elbert County,Georgia,46,19212.0,0.002394336872787841
439,Emanuel County,Georgia,26,22499.0,0.0011556069158629272
440,Evans County,Georgia,4,10727.0,0.0003728908362077002
441,Fannin County,Georgia,36,24925.0,0.001444332998996991
442,Fayette County,Georgia,207,111369.0,0.0018586859898176334
443,Floyd County,Georgia,180,96824.0,0.001859043212426671
444,Forsyth County,Georgia,399,219880.0,0.0018146261597234855
445,Franklin County,Georgia,33,22514.0,0.001465754641556365
446,Fulton County,Georgia,3761,1021902.0,0.0036803920532497247
447,Gilmer County,Georgia,109,29922.0,0.0036428046253592673
448,Glascock County,Georgia,1,3009.0,0.00033233632436025255
449,Glynn County,Georgia,75,83974.0,0.000893133588968014
450,Gordon County,Georgia,128,56790.0,0.002253917943299877
451,Grady County,Georgia,90,24926.0,0.0036106876354007863
452,Greene County,Georgia,57,16976.0,0.0033576814326107445
453,Gwinnett County,Georgia,2594,902298.0,0.0028748816909712756
454,Habersham County,Georgia,420,44289.0,0.00948316737790422
455,Hall County,Georgia,2152,195961.0,0.010981776986237058
456,Hancock County,Georgia,159,8535.0,0.018629173989455183
